Config No.,Alarm events,Control events,Avg. alarm wait,Avg. control wait,Max alarm wait,Max control wait
0,0,9,0,1.56,0,4
0,0,17,0,1.76,0,4
0,0,5,0,1.8,0,3
0,0,14,0,2.64,0,5
0,0,4,0,1.25,0,2
1,0,16,0,2.38,0,5
1,0,34,0,2.85,0,9
1,0,16,0,3.38,0,8
1,0,20,0,2.85,0,8
1,0,10,0,2.4,0,10
1,0,2,0,1.5,0,2
1,0,2,0,1.0,0,1
1,0,9,0,1.78,0,3
1,0,26,0,2.19,0,8
1,0,48,0,3.33,0,9
1,0,56,0,4.59,0,10
2,0,5,0,2.0,0,3
2,0,11,0,1.64,0,3
2,0,4,0,1.5,0,2
2,0,3,0,3.0,0,4
2,0,2,0,1.0,0,1
2,0,6,0,2.17,0,4
2,0,5,0,2.8,0,5
2,0,6,0,3.83,0,10
2,0,18,0,1.44,0,4
2,0,27,0,2.63,0,8
2,0,27,0,3.19,0,10
2,0,24,0,2.12,0,9
2,0,49,0,3.27,0,8
2,0,55,0,4.87,0,10
2,0,65,0,4.46,0,10
2,0,90,0,5.18,0,10
2,0,74,0,6.14,0,10
3,0,9,0,2.0,0,4
3,0,25,0,2.36,0,7
3,0,2,0,2.5,0,4
3,0,9,0,1.78,0,3
3,0,2,0,1.5,0,2
3,0,4,0,1.5,0,2
3,0,3,0,1.33,0,2
3,0,10,0,1.8,0,3
3,0,13,0,1.69,0,4
3,0,42,0,3.1,0,8
3,0,44,0,4.2,0,10
3,0,63,0,3.94,0,9
3,0,95,0,4.87,0,10
3,0,95,0,5.74,0,10
3,0,88,0,5.02,0,10
3,0,85,0,5.44,0,10
3,0,80,0,4.74,0,10
3,0,83,0,5.46,0,10
3,0,72,0,5.43,0,10
3,0,65,0,4.74,0,10
3,0,71,0,4.69,0,10
3,0,84,0,5.2,0,10
3,0,95,0,4.91,0,10
4,0,8,0,1.38,0,3
4,0,13,0,2.23,0,4
4,0,4,0,2.25,0,5
4,0,6,0,2.0,0,4
4,0,8,0,1.88,0,5
4,0,8,0,2.38,0,7
4,0,8,0,1.75,0,4
4,0,12,0,3.17,0,5
