Config No,Measurements,Alarm arrivals,Control arrivals,Departures,Missed alarms,Missed controls,Collisions,Avg. alarm queue,Alarm queue delta,Avg. control queue,Control queue delta,Avg. alarm wait,Alarm wait delta,Avg. control wait,Control wait delta,Max alarm wait,Max control wait
0,5,30,308,287,0,4,225,0.0,0.0,23.0,6.25,-1,-1,2.9,0.58,0,10.0
1,11,60,616,591,0,15,403,0.0,0.0,17.91,6.35,-1,-1,2.68,0.48,0,10.0
2,17,90,929,898,0,5,611,0.0,0.0,15.71,3.16,-1,-1,2.34,0.28,0,10.0
3,23,120,1223,1121,0,40,1036,0.0,0.0,20.78,5.29,-1,-1,2.67,0.41,0,10.0
4,29,150,1529,1178,0,282,2027,0.07,0.13,39.62,8.87,1.0,0.0,3.63,0.46,1.0,10.0
5,35,180,1838,1829,0,26,1143,0.11,0.15,15.31,3.48,1.5,0.69,2.49,0.29,2.0,10.0
6,41,210,2149,2129,0,41,1261,0.05,0.09,13.98,3.22,3.0,0.0,2.41,0.31,3.0,10.0
7,47,240,2449,2464,0,15,1386,0.04,0.08,13.77,2.09,1.0,0.0,2.25,0.18,1.0,10.0
8,53,270,2760,2115,0,691,3697,0.11,0.12,43.34,8.06,1.67,1.07,3.69,0.38,3.0,10.0
9,59,300,2941,2931,0,74,1722,0.08,0.12,14.07,3.48,1.0,0.0,2.36,0.28,1.0,10.0
10,65,330,3289,3350,0,15,1604,0.15,0.13,11.28,1.92,1.2,0.35,1.96,0.18,2.0,10.0
11,71,360,3675,2949,0,797,4657,0.27,0.19,38.39,6.8,2.42,1.07,3.54,0.33,5.0,10.0
12,77,390,3932,3871,0,195,2456,0.18,0.13,16.16,4.28,2.0,0.97,2.32,0.26,5.0,10.0
13,83,420,4279,4330,0,114,3025,0.28,0.19,17.6,2.54,2.12,0.71,2.51,0.2,4.0,10.0
14,89,450,4505,4664,0,21,2494,0.44,0.18,12.79,1.48,1.5,0.28,2.22,0.15,3.0,10.0
15,95,480,4898,4434,2,683,5265,0.46,0.21,30.91,5.06,2.59,1.06,3.12,0.27,10.0,10.0
